Bank;CardCompany;CloseDate;ExpirationDate;TotalARS;TotalUSD;CardNumber;CardOwner;CardTotalARS;CardTotalUSD;MovementType;OriginalDate;ReceiptNumber;Detail;CurrentInstallment;TotalInstallments;AmountARS;AmountUSD
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;347.300,00;0,00;CardMovement;2025-03-22;RCPT_000001;RIVER MARKET;;;42.100,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;347.300,00;0,00;CardMovement;2025-03-07;RCPT_000002;GREEN CART;;;77.300,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;347.300,00;0,00;CardMovement;2025-03-19;RCPT_000003;NORTH GROCER;;;74.800,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;347.300,00;0,00;CardMovement;2025-03-03;RCPT_000004;URBAN WRAPS;;;25.700,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;347.300,00;0,00;CardMovement;2025-03-16;RCPT_000005;URBAN WRAPS;;;6.400,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;347.300,00;0,00;CardMovement;2025-03-02;RCPT_000006;GARDEN BOWL;;;27.700,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;347.300,00;0,00;CardMovement;2025-03-24;RCPT_000007;MORNING CUP;;;7.200,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;347.300,00;0,00;CardMovement;2025-03-03;RCPT_000008;CITY KIOSK;;;6.100,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;347.300,00;0,00;CardMovement;2025-03-05;RCPT_000009;CARE CLINIC;;;42.900,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1001;ALPHA_HOUSEHOLD_RAW;347.300,00;0,00;CardMovement;2025-03-18;RCPT_000010;CITY POWER CO;;;37.100,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-10;RCPT_000011;GREEN CART;;;27.200,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-06;RCPT_000012;NORTH GROCER;;;47.400,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-02;RCPT_000013;BARRIO FOODS;;;72.900,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-07;RCPT_000014;BARRIO FOODS;;;93.600,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-10;RCPT_000015;GARDEN BOWL;;;12.200,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-07;RCPT_000016;GARDEN BOWL;;;17.500,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-19;RCPT_000017;OAK CAFE;;;9.900,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-02;RCPT_000018;MORNING CUP;;;11.600,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-10;RCPT_000019;CITY KIOSK;;;5.600,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-05;RCPT_000020;URBAN THREADS;;;53.600,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-12;RCPT_000021;TABLE AND TILE;;;43.000,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-08;RCPT_000022;CITY GAS;;;18.400,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-16;RCPT_000023;CITY GAS;;;18.500,00;0,00
Santander;AMEX;2025-03-26;2025-04-03;802.600,00;0,00;SANT-AMX-1002;BETA_HOUSEHOLD_RAW;455.300,00;0,00;CardMovement;2025-03-14;RCPT_000024;CITY POWER CO;;;23.900,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-15;RCPT_000025;RIVER MARKET;;;67.900,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-11;RCPT_000026;GREEN CART;;;51.800,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-11;RCPT_000027;URBAN WRAPS;;;9.000,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-08;RCPT_000028;SUNSET NOODLES;;;14.200,00;0,00
Visa Prisma;VISA;2025-03-22;2025-04-01;945.600,00;0,00;VISA-PRISMA-2001;ALPHA_HOUSEHOLD_RAW;408.900,00;0,00;CardMovement;2025-03-12;RCPT_000029;LATE TACO;;;27.500,00;0,00
